City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
khatanga,71.9667,102.5,5.43,98.0,64.0,1.66,RU,1665266396.0
tukrah,32.5341,20.5791,70.59,62.0,1.0,6.89,LY,1665266858.0
ribeira grande,38.5167,-28.7,71.65,88.0,62.0,10.31,PT,1665266448.0
cayenne,4.9333,-52.3333,82.44,74.0,0.0,8.05,GF,1665266310.0
cururupu,-1.8283,-44.8683,77.31,83.0,48.0,4.05,BR,1665266858.0
leningradskiy,69.3833,178.4167,18.45,74.0,71.0,12.95,RU,1665266349.0
aykhal,66.0,111.5,26.96,97.0,100.0,8.72,RU,1665266488.0
brookhaven,31.5791,-90.4407,80.26,40.0,1.0,8.37,US,1665266858.0
carutapera,-1.195,-46.02,80.64,75.0,27.0,10.18,BR,1665266858.0
pasni,25.2631,63.471,82.0,27.0,0.0,11.88,PK,1665266858.0
bambanglipuro,-7.95,110.2833,76.06,91.0,98.0,4.54,ID,1665266859.0
jamestown,42.097,-79.2353,47.01,49.0,8.0,4.0,US,1665266447.0
anju,39.6178,125.6647,50.99,83.0,100.0,5.23,KP,1665266864.0
chapais,49.7834,-74.8492,33.58,97.0,100.0,10.98,CA,1665266864.0
mandera,3.9366,41.867,78.66,62.0,50.0,19.3,KE,1665266864.0
sao joao da barra,-21.6403,-41.0511,73.49,90.0,42.0,8.16,BR,1665266864.0
provideniya,64.3833,-173.3,33.6,74.0,64.0,11.81,RU,1665266448.0
zhezkazgan,47.8043,67.7144,46.6,59.0,6.0,9.33,KZ,1665266865.0
sfantu gheorghe,45.8667,25.7833,53.26,85.0,74.0,0.67,RO,1665266826.0
maksatikha,57.797,35.8825,50.72,85.0,100.0,9.84,RU,1665266865.0
kaitangata,-46.2817,169.8464,55.27,54.0,97.0,4.45,NZ,1665266466.0
husavik,66.0449,-17.3389,37.13,94.0,100.0,6.02,IS,1665266830.0
ostrovnoy,68.0531,39.5131,43.54,90.0,15.0,20.83,RU,1665266399.0
lazaro cardenas,17.9583,-102.2,85.28,72.0,17.0,10.71,MX,1665266865.0
umea,63.8284,20.2597,41.92,81.0,0.0,5.75,SE,1665266865.0
nabire,-3.3667,135.4833,78.08,89.0,99.0,2.15,ID,1665266866.0
lebu,-37.6167,-73.65,50.13,69.0,0.0,22.12,CL,1665266399.0
westerland,54.9079,8.3033,55.42,67.0,20.0,16.11,DE,1665266866.0
butaritari,3.0707,172.7902,82.0,77.0,35.0,16.35,KI,1665266482.0
katsuura,35.1333,140.3,67.64,72.0,100.0,14.56,JP,1665266493.0
asilah,35.465,-6.0348,73.36,84.0,12.0,10.22,MA,1665266866.0
tabou,4.423,-7.3528,76.17,90.0,50.0,6.46,CI,1665266866.0
paamiut,61.994,-49.6678,31.68,54.0,46.0,9.6,GL,1665266510.0
kungurtug,50.5994,97.5228,20.7,54.0,29.0,2.26,RU,1665266866.0
togur,58.3631,82.8265,40.87,90.0,49.0,2.62,RU,1665266805.0
tarabuco,-19.1667,-64.9167,66.22,17.0,10.0,18.52,BO,1665266867.0
denpasar,-8.65,115.2167,80.26,94.0,75.0,10.36,ID,1665266462.0
panama city,8.9936,-79.5197,79.29,88.0,40.0,13.8,PA,1665266867.0
maarianhamina,60.0973,19.9348,39.06,93.0,0.0,2.3,AX,1665266867.0
eirunepe,-6.6603,-69.8736,84.16,62.0,97.0,0.74,BR,1665266867.0
constantine,36.365,6.6147,69.21,60.0,75.0,6.91,DZ,1665266867.0
bandarbeyla,9.4942,50.8122,76.69,90.0,20.0,15.93,SO,1665266486.0
brae,60.3964,-1.353,52.45,86.0,100.0,20.65,GB,1665266867.0
kirundo,-2.5833,30.1667,61.79,55.0,99.0,1.86,BI,1665266867.0
kavieng,-2.5744,150.7967,83.23,67.0,100.0,15.9,PG,1665266513.0
lorengau,-2.0226,147.2712,82.99,74.0,42.0,10.74,PG,1665266485.0
harper,4.375,-7.7169,76.42,89.0,66.0,7.31,LR,1665266868.0
pangnirtung,66.1451,-65.7125,27.57,85.0,100.0,3.09,CA,1665266868.0
corpus christi,27.8006,-97.3964,91.49,43.0,40.0,10.36,US,1665266868.0
mount gambier,-37.8333,140.7667,49.77,70.0,69.0,3.49,AU,1665266513.0
saskylakh,71.9167,114.0833,14.31,98.0,92.0,2.86,RU,1665266398.0
pisco,-13.7,-76.2167,63.01,78.0,14.0,6.33,PE,1665266499.0
qaanaaq,77.484,-69.3632,7.81,67.0,97.0,10.6,GL,1665266456.0
sao filipe,14.8961,-24.4956,78.4,80.0,10.0,7.49,CV,1665266340.0
saldanha,-33.0117,17.9442,60.33,80.0,59.0,22.01,ZA,1665266868.0
qostanay,53.1667,63.5833,46.69,76.0,100.0,15.66,KZ,1665266808.0
flinders,-34.5833,150.8552,50.18,86.0,100.0,11.99,AU,1665266868.0
hilo,19.7297,-155.09,89.28,85.0,97.0,7.0,US,1665266399.0
thinadhoo,0.5333,72.9333,80.28,80.0,61.0,13.8,MV,1665266868.0
castro,-24.7911,-50.0119,58.21,81.0,0.0,4.63,BR,1665266472.0
kaa-khem,51.6833,94.7333,31.5,44.0,51.0,4.05,RU,1665266873.0
singaraja,-8.112,115.0882,78.91,83.0,100.0,5.26,ID,1665266873.0
jalu,29.0331,21.5482,69.73,44.0,0.0,11.07,LY,1665266874.0
bonthe,7.5264,-12.505,77.86,88.0,100.0,4.16,SL,1665266874.0
mahebourg,-20.4081,57.7,70.09,68.0,20.0,12.66,MU,1665266449.0
morgantown,39.6295,-79.9559,56.25,63.0,40.0,5.75,US,1665266874.0
talnakh,69.4865,88.3972,22.32,91.0,95.0,5.41,RU,1665266478.0
kahului,20.8947,-156.47,79.84,91.0,75.0,7.0,US,1665266471.0
twentynine palms,34.1356,-116.0542,91.54,24.0,14.0,5.73,US,1665266874.0
chokurdakh,70.6333,147.9167,21.88,90.0,100.0,18.21,RU,1665266470.0
villarrica,-25.75,-56.4333,69.15,79.0,0.0,2.59,PY,1665266762.0
dingle,10.9995,122.6711,75.9,92.0,76.0,6.29,PH,1665266462.0
carnarvon,-24.8667,113.6333,65.97,62.0,33.0,15.48,AU,1665266464.0
banda aceh,5.5577,95.3222,77.95,78.0,100.0,4.45,ID,1665266874.0
sawakin,19.1059,37.3321,83.12,76.0,4.0,6.6,SD,1665266874.0
cidreira,-30.1811,-50.2056,64.78,77.0,33.0,10.58,BR,1665266492.0
swift current,50.2834,-107.8014,68.63,27.0,98.0,9.62,CA,1665266874.0
zhigalovo,54.8097,105.1578,20.46,97.0,90.0,2.08,RU,1665266875.0
korla,41.7597,86.1469,58.01,29.0,100.0,7.7,CN,1665266515.0
hobyo,5.3505,48.5268,77.07,85.0,60.0,23.38,SO,1665266508.0
balugaon,20.1667,85.1,75.25,96.0,93.0,1.68,IN,1665266727.0
kaeo,-35.1,173.7833,62.33,77.0,95.0,12.1,NZ,1665266875.0
tagusao,9.1924,117.8141,79.81,81.0,72.0,3.8,PH,1665266875.0
saint george,37.1041,-113.5841,88.95,20.0,0.0,3.44,US,1665266453.0
lakes entrance,-37.8811,147.981,51.17,72.0,2.0,12.06,AU,1665266876.0
soyo,-6.1349,12.3689,76.86,84.0,66.0,8.57,AO,1665266876.0
taoudenni,22.6783,-3.9836,97.74,13.0,15.0,6.22,ML,1665266481.0
george town,5.4112,100.3354,79.23,89.0,20.0,9.22,MY,1665266746.0
marsa matruh,31.3525,27.2453,71.76,61.0,4.0,8.43,EG,1665266876.0
cabo san lucas,22.8909,-109.9124,93.61,61.0,2.0,6.42,MX,1665266488.0
bireun,5.203,96.7009,76.26,85.0,99.0,4.29,ID,1665266840.0
kutina,45.475,16.7819,55.56,86.0,100.0,2.53,HR,1665266832.0
culpeper,38.5004,-77.9664,58.41,51.0,0.0,4.61,US,1665266876.0
norman wells,65.282,-126.8329,51.84,58.0,40.0,11.5,CA,1665266397.0
luderitz,-26.6481,15.1594,62.47,69.0,77.0,12.15,NA,1665266876.0
hofn,64.2539,-15.2082,42.15,93.0,100.0,10.67,IS,1665266877.0
saint-philippe,-21.3585,55.7679,65.79,78.0,34.0,11.65,RE,1665266248.0
beibei,29.8256,106.4339,63.37,94.0,100.0,3.53,CN,1665266849.0
lusambo,-4.9667,23.45,68.85,96.0,96.0,1.66,CD,1665266877.0
upernavik,72.7868,-56.1549,21.74,93.0,100.0,10.67,GL,1665266467.0
beringovskiy,63.05,179.3167,30.43,52.0,4.0,5.55,RU,1665266340.0
chicama,-7.8447,-79.1469,59.54,70.0,65.0,9.4,PE,1665266877.0
mozarlandia,-14.7447,-50.5706,86.86,42.0,48.0,6.71,BR,1665266877.0
leo,11.1,-2.1,74.62,78.0,73.0,3.94,BF,1665266878.0
lazarev,52.225,141.5131,37.99,69.0,100.0,3.89,RU,1665266878.0
hasaki,35.7333,140.8333,59.4,58.0,99.0,17.96,JP,1665266445.0
iqaluit,63.7506,-68.5145,25.88,82.0,54.0,2.77,CA,1665266474.0
pafos,34.7667,32.4167,71.87,64.0,3.0,9.57,CY,1665266627.0
qandala,11.472,49.8728,83.79,45.0,4.0,4.97,SO,1665266883.0
san vicente,-26.6167,-54.1333,59.7,81.0,0.0,2.86,AR,1665266884.0
abaza,52.655,90.0928,35.22,69.0,52.0,4.94,RU,1665266838.0
volchikha,52.0333,80.3833,55.4,35.0,57.0,14.7,RU,1665266884.0
xining,36.6167,101.7667,30.33,45.0,72.0,1.9,CN,1665266884.0
tazovskiy,67.4667,78.7,37.08,98.0,100.0,6.26,RU,1665266471.0
kavaratti,10.5669,72.642,80.76,76.0,13.0,8.12,IN,1665266497.0
ilulissat,69.2167,-51.1,28.42,80.0,75.0,8.05,GL,1665266456.0
lagoa,39.05,-27.9833,70.07,93.0,48.0,14.12,PT,1665266477.0
pinhao,-25.6956,-51.6597,54.45,88.0,0.0,2.37,BR,1665266605.0
east london,-33.0153,27.9116,68.72,72.0,53.0,4.23,ZA,1665266469.0
rach gia,10.0167,105.0833,76.24,90.0,100.0,8.93,VN,1665266884.0
bilibino,68.0546,166.4372,13.55,96.0,100.0,7.96,RU,1665266885.0
tezu,27.9167,96.1667,72.61,93.0,97.0,2.51,IN,1665266885.0
khani,41.9563,42.9566,63.97,61.0,87.0,5.91,GE,1665266885.0
varhaug,58.6147,5.6457,47.89,74.0,38.0,8.93,NO,1665266885.0
idah,7.1065,6.7342,72.57,94.0,99.0,1.77,NG,1665266885.0
trzebiatow,54.0615,15.2648,50.86,86.0,2.0,16.04,PL,1665266689.0
labuhan,-6.8844,112.2051,77.76,86.0,100.0,10.16,ID,1665266480.0
santa maria del oro,25.9333,-105.3667,74.88,36.0,23.0,9.62,MX,1665266886.0
araouane,18.9048,-3.5265,94.96,14.0,27.0,7.76,ML,1665266493.0
geraldton,-28.7667,114.6,41.41,93.0,28.0,2.3,AU,1665266506.0
valenzuela,37.7756,-4.2204,75.58,51.0,3.0,2.04,ES,1665266886.0
dombarovskiy,50.7587,59.5386,42.96,88.0,6.0,8.81,RU,1665266887.0
bengkulu,-3.8004,102.2655,76.1,82.0,100.0,2.86,ID,1665266476.0
port-cartier,50.0334,-66.8654,41.76,51.0,72.0,10.0,CA,1665266887.0
clyde river,70.4692,-68.5914,11.41,89.0,20.0,4.16,CA,1665266497.0
guerrero negro,27.9769,-114.0611,78.12,61.0,2.0,12.55,MX,1665266502.0
vardo,70.3705,31.1107,40.98,87.0,20.0,9.22,NO,1665266887.0
chuy,-33.6971,-53.4616,54.93,89.0,100.0,9.95,UY,1665266398.0
comodoro rivadavia,-45.8667,-67.5,60.66,13.0,0.0,23.02,AR,1665266670.0
kampot,10.6167,104.1833,75.38,91.0,100.0,3.83,KH,1665266887.0
arlit,18.7369,7.3853,88.43,16.0,0.0,17.65,NE,1665266887.0
tomatlan,19.9333,-105.25,87.44,65.0,34.0,6.13,MX,1665266887.0
ampanihy,-24.7,44.75,76.28,40.0,0.0,3.29,MG,1665266887.0
cherskiy,68.75,161.3,19.8,91.0,100.0,20.18,RU,1665266474.0
riyadh,24.6877,46.7219,81.21,12.0,0.0,4.63,SA,1665266453.0
taunggyi,20.7833,97.0333,60.6,97.0,31.0,0.85,MM,1665266888.0
avarua,-21.2078,-159.775,77.05,65.0,40.0,16.11,CK,1665266397.0
visnes,59.3556,5.2242,48.25,87.0,40.0,11.5,NO,1665266888.0
svetlaya,46.5389,138.3297,42.26,56.0,44.0,3.58,RU,1665266888.0
baykit,61.67,96.37,36.61,98.0,100.0,5.26,RU,1665266888.0
sungaipenuh,-2.0833,101.3833,63.57,81.0,100.0,1.68,ID,1665266888.0
tateyama,34.9833,139.8667,62.1,75.0,100.0,14.03,JP,1665266888.0
casablanca,33.5928,-7.6192,71.82,83.0,32.0,5.99,MA,1665266733.0
padang,-0.9492,100.3543,76.68,79.0,100.0,4.16,ID,1665266893.0
mogadishu,2.0371,45.3438,76.89,85.0,32.0,13.58,SO,1665266819.0
hobe sound,27.0595,-80.1364,81.01,77.0,100.0,14.97,US,1665266894.0
mchinji,-13.7984,32.8802,66.27,30.0,0.0,4.76,MW,1665266894.0
morros,-9.4467,-46.3003,87.33,30.0,60.0,0.85,BR,1665266894.0
lompoc,34.6391,-120.4579,88.02,77.0,100.0,10.36,US,1665266464.0
bubaque,11.2833,-15.8333,81.52,77.0,92.0,5.32,GW,1665266894.0
preeceville,51.95,-102.6677,66.83,31.0,81.0,14.97,CA,1665266895.0
tarko-sale,64.9225,77.785,41.05,95.0,100.0,10.74,RU,1665266711.0
saint anthony,45.0205,-93.218,64.65,31.0,0.0,11.5,US,1665266895.0
caravelas,-17.7125,-39.2481,75.92,81.0,17.0,11.9,BR,1665266895.0
klaksvik,62.2266,-6.589,49.12,87.0,100.0,24.34,FO,1665266398.0
nadvoitsy,63.8667,34.3167,46.45,89.0,61.0,11.56,RU,1665266895.0
la asuncion,11.0333,-63.8628,81.36,79.0,100.0,13.22,VE,1665266895.0
san patricio,28.017,-97.5169,91.18,31.0,17.0,7.36,US,1665266479.0
canto do buriti,-8.11,-42.9444,91.02,26.0,54.0,4.97,BR,1665266895.0
muroto,33.2833,134.15,67.46,64.0,93.0,12.35,JP,1665266896.0
aklavik,68.2191,-135.0107,39.0,73.0,93.0,10.47,CA,1665266455.0
boa vista,2.8197,-60.6733,89.58,43.0,20.0,6.91,BR,1665266896.0
ponta do sol,32.6667,-17.1,71.01,60.0,39.0,6.46,PT,1665266487.0
jizan,17.3333,42.6667,86.58,62.0,11.0,1.72,SA,1665266849.0
brewster,41.3973,-73.6171,55.18,64.0,4.0,4.72,US,1665266896.0
belmonte,-15.8631,-38.8828,76.08,81.0,99.0,11.12,BR,1665266896.0
makubetsu,45.3714,141.8211,45.95,76.0,9.0,7.47,JP,1665266897.0
namatanai,-3.6667,152.4333,82.83,71.0,49.0,11.21,PG,1665266897.0
longyearbyen,78.2186,15.6401,39.04,75.0,75.0,11.5,SJ,1665266494.0
starosubkhangulovo,53.1031,57.4423,44.92,77.0,100.0,5.08,RU,1665266897.0
palmares do sul,-30.2578,-50.5097,64.33,71.0,24.0,5.19,BR,1665266897.0
makakilo city,21.3469,-158.0858,84.56,59.0,0.0,11.5,US,1665266897.0
pamplona,42.8169,-1.6432,57.11,88.0,0.0,2.3,ES,1665266897.0
alofi,-19.0595,-169.9187,75.29,84.0,100.0,26.49,NU,1665266456.0
batagay,67.6333,134.6333,17.33,94.0,100.0,3.58,RU,1665266897.0
mnogovershinnyy,53.9353,139.9242,25.29,71.0,40.0,4.63,RU,1665266897.0
stephenville crossing,48.5,-58.4318,53.73,94.0,100.0,9.22,CA,1665266898.0
champerico,14.3,-91.9167,83.39,75.0,81.0,4.38,GT,1665266898.0
sirsi,14.6167,74.85,65.84,98.0,87.0,1.25,IN,1665266898.0
bambous virieux,-20.3428,57.7575,70.05,68.0,20.0,12.66,MU,1665266481.0
okhotsk,59.3833,143.3,25.88,59.0,14.0,12.8,RU,1665266899.0
san cristobal,7.7669,-72.225,80.78,63.0,63.0,3.65,VE,1665266343.0
bud,39.447,-86.1758,58.05,44.0,4.0,8.16,US,1665266899.0
taltal,-25.4,-70.4833,60.37,77.0,14.0,4.54,CL,1665266896.0
atar,20.5169,-13.0499,91.83,21.0,14.0,7.74,MR,1665266899.0
lodja,-3.4833,23.4333,69.06,90.0,97.0,2.15,CD,1665266899.0
dubai,25.2582,55.3047,85.93,28.0,0.0,3.44,AE,1665266767.0
kieta,-6.2167,155.6333,82.6,65.0,39.0,5.93,PG,1665266517.0
bethel,41.3712,-73.414,55.94,64.0,4.0,5.01,US,1665266463.0
asau,46.4333,26.4,43.72,81.0,99.0,4.07,RO,1665266905.0
port elizabeth,-33.918,25.5701,64.31,87.0,6.0,8.01,ZA,1665266461.0
anadyr,64.75,177.4833,26.01,73.0,16.0,11.01,RU,1665266468.0
burnie,-41.0667,145.9167,48.94,60.0,6.0,6.89,AU,1665266906.0
breytovo,58.2993,37.8617,51.35,81.0,100.0,14.63,RU,1665266906.0
maltahohe,-24.8333,16.9833,74.55,20.0,19.0,8.3,NA,1665266907.0
havoysund,70.9963,24.6622,44.83,81.0,52.0,25.68,NO,1665266907.0
salalah,17.0151,54.0924,75.34,76.0,6.0,1.25,OM,1665266473.0
dikson,73.5069,80.5464,31.55,84.0,100.0,7.76,RU,1665266454.0
san felipe,10.3399,-68.7425,75.96,96.0,100.0,3.24,VE,1665266907.0
kasongo-lunda,-6.4667,16.8167,71.02,91.0,96.0,1.03,CD,1665266907.0
eidsvag,62.7767,8.0668,46.45,91.0,98.0,7.31,NO,1665266908.0
georgetown,5.4112,100.3354,79.23,89.0,20.0,9.22,MY,1665266448.0
kihei,20.785,-156.4656,87.82,77.0,40.0,12.66,US,1665266714.0
morondava,-20.2833,44.2833,74.53,88.0,3.0,1.21,MG,1665266908.0
meoqui,28.2833,-105.4833,75.54,43.0,82.0,2.46,MX,1665266908.0
isangel,-19.55,169.2667,77.54,76.0,67.0,19.13,VU,1665266463.0
matucana,-11.85,-76.4,64.06,54.0,62.0,8.23,PE,1665266908.0
gbarnga,6.9956,-9.4722,70.61,99.0,86.0,2.39,LR,1665266908.0
shimoda,34.6667,138.95,66.49,76.0,98.0,17.6,JP,1665266908.0
alta floresta,-9.8756,-56.0861,86.16,41.0,48.0,6.53,BR,1665266885.0
yavatmal,20.4,78.1333,72.57,91.0,23.0,4.83,IN,1665266909.0
hattiesburg,31.3271,-89.2903,81.09,42.0,0.0,11.5,US,1665266909.0
marsh harbour,26.5412,-77.0636,82.04,74.0,13.0,14.2,BS,1665266909.0
ketchikan,55.3422,-131.6461,54.07,94.0,100.0,10.36,US,1665266909.0
tura,25.5198,90.2201,71.92,95.0,92.0,2.62,IN,1665266460.0
linxia,35.6003,103.2064,33.78,53.0,86.0,0.54,CN,1665266636.0
los llanos de aridane,28.6585,-17.9182,69.55,73.0,100.0,14.97,ES,1665266909.0
byron bay,-28.65,153.6167,68.7,90.0,100.0,15.26,AU,1665266909.0
krasnoselkup,65.7,82.4667,38.61,94.0,100.0,7.52,RU,1665266909.0
yermakovskoye,53.2831,92.4003,32.4,69.0,41.0,3.18,RU,1665266674.0
xuddur,4.1213,43.8894,72.05,78.0,69.0,16.28,SO,1665266910.0
hamilton,39.1834,-84.5333,58.8,44.0,0.0,9.22,US,1665266762.0
coihaique,-45.5752,-72.0662,48.81,46.0,75.0,10.36,CL,1665266702.0
aguimes,27.9054,-15.4461,70.66,78.0,20.0,17.27,ES,1665266781.0
narsaq,60.9167,-46.05,32.22,65.0,3.0,8.34,GL,1665266461.0
pacific grove,36.6177,-121.9166,77.23,90.0,75.0,9.22,US,1665266910.0
agua dulce,18.1333,-94.1333,78.58,77.0,91.0,13.89,MX,1665266911.0
yumen,40.2833,97.2,31.32,38.0,0.0,12.71,CN,1665266911.0
constitucion,-35.3333,-72.4167,55.51,54.0,0.0,18.81,CL,1665266263.0
colesberg,-30.72,25.0972,69.03,13.0,0.0,3.49,ZA,1665266911.0
uige,-7.6087,15.0613,67.1,96.0,89.0,0.98,AO,1665266916.0
kollam,8.8833,76.6,76.05,90.0,18.0,7.92,IN,1665266916.0
sarai alamgir,32.9012,73.7559,71.4,66.0,0.0,2.86,PK,1665266916.0
rocha,-34.4833,-54.3333,54.32,57.0,97.0,14.12,UY,1665266452.0
buraydah,26.326,43.975,77.68,12.0,0.0,5.82,SA,1665266801.0
sokolniki,50.638,21.8065,58.19,86.0,95.0,7.2,PL,1665266777.0
nanortalik,60.1432,-45.2371,33.51,65.0,2.0,8.59,GL,1665266445.0
yarada,17.65,83.2667,79.12,94.0,75.0,2.3,IN,1665266917.0
fairbanks,64.8378,-147.7164,47.82,90.0,100.0,5.57,US,1665266483.0
barra do garcas,-15.89,-52.2567,87.6,37.0,88.0,0.29,BR,1665266917.0
ponta delgada,37.7333,-25.6667,71.51,83.0,75.0,6.91,PT,1665266514.0
qaqortoq,60.7167,-46.0333,29.26,58.0,3.0,7.56,GL,1665266451.0
mattawa,46.7379,-119.9028,84.02,37.0,2.0,3.0,US,1665266917.0
buchanan,5.8808,-10.0467,77.45,89.0,82.0,4.97,LR,1665266917.0
mariestad,58.7097,13.8237,44.51,95.0,0.0,8.63,SE,1665266917.0
sinnamary,5.3833,-52.95,80.37,84.0,53.0,11.72,GF,1665266918.0
